Issue Number,Title,State,Created At,Updated At,Assignee,Labels
7398,Right click triggers drag event on some machines & fails to fire `plotly_click`,open,2025-03-31T15:51:31Z,2025-04-09T10:36:05Z,,"bug, P2"
7397,x axis label is inconsistent for different range of duration in line chart,open,2025-03-31T12:15:48Z,2025-03-31T14:49:20Z,,"bug, P3"
7391,Choropleth: can't add/remove from current selection after zoom,open,2025-03-19T02:10:55Z,2025-03-19T21:17:36Z,,"bug, P3"
7387,Plotly-strict - Calls to WebGLRenderingContext.clear() Trigger Warning,open,2025-03-06T22:20:58Z,2025-04-03T14:37:45Z,,"bug, P2"
7386,"Legend size is calculated incorrectly with orientation 'v', yref 'container'",open,2025-03-06T00:52:55Z,2025-03-07T17:17:04Z,,"bug, P2"
7383,Fill doesnt work when curves are of type scattergl,open,2025-02-28T14:30:58Z,2025-04-07T20:31:26Z,,"bug, P3"
7380,Strict CSP breaks bold tags in annotation text,open,2025-02-27T15:52:34Z,2025-02-28T17:55:53Z,,"bug, P2"
7377,yaxis.autorange === true unexpected behavior since 3.0,open,2025-02-24T10:49:37Z,2025-02-24T16:22:10Z,,"bug, regression, P2"
7376,Logarithmic colorbar in heatmaps not working as documented,open,2025-02-24T09:01:08Z,2025-02-24T16:21:10Z,,"bug, P2, documentation"
7375,Customdata missing in hoverdata in Ploly 6.0.0,open,2025-02-22T09:32:46Z,2025-03-15T09:24:15Z,,"bug, regression, P1"
7372,Bug: Exporting as HTML (New Issues as of v.3.0.1),open,2025-02-19T15:03:32Z,2025-02-21T14:47:52Z,,"bug, P2"
7363,`axis.showline` does not work with `trace.zorder`,open,2025-02-11T17:11:55Z,2025-02-13T14:11:37Z,,"bug, P2, cs"
7361,Plotly.js 3.0.0 Webpack compatibility issue,closed,2025-02-09T08:04:22Z,2025-02-18T19:02:39Z,marthacryan,"bug, P1, infrastructure"
7356,Shape with dashed line appears as solid line for certain plot dimensions,open,2025-02-07T13:26:50Z,2025-02-10T18:12:37Z,,"bug, P2"
7354,Glitch when trying to display few data entries sharing only two different dates,open,2025-02-05T14:14:30Z,2025-03-31T10:51:38Z,,"bug, P2"
7353,"""TypeError: POt.indexOf is not a function"" with mode: text and type: scattergl",open,2025-02-04T13:22:53Z,2025-02-10T20:48:23Z,emilykl,"bug, P1"
7350,Wrong layout when adjusting gap between positive-side violin plots.,open,2025-01-30T06:09:44Z,2025-02-03T16:02:01Z,,"bug, P3"
7347,redraw <chart type> with no changes is not a noop (svg mocks),open,2025-01-25T00:16:44Z,2025-02-03T16:00:49Z,,"bug, testing"
7344,Plotly.extendTraces freezes/lags on some devices / JavaScript,open,2025-01-22T05:57:05Z,2025-01-24T14:10:24Z,,"bug, P3, performance"
7337,Documentation mismatch re: polar + bargap,open,2025-01-16T20:06:13Z,2025-02-03T15:59:51Z,LiamConnors,"bug, P2, documentation"
7332,plotly.css file should be added to the release files,open,2025-01-10T19:21:06Z,2025-01-15T14:00:22Z,alexcjohnson,"bug, P1"
7331,Incorrect type error when assigning string to automargin property in LayoutAxis,open,2025-01-10T18:54:51Z,2025-01-15T13:59:41Z,,"bug, P2"
7330,`Hovertemplate` will block the point due to the lack of `top` and `bottom` side,open,2025-01-09T17:59:15Z,2025-01-09T19:18:36Z,,"bug, P3"
7322,Plotly ESM broken on jsdelivr,open,2024-12-18T15:28:01Z,2025-03-13T14:46:34Z,gvwilson,"bug, P2"
7320,zoom broken with multiple traces with different zorder,open,2024-12-17T10:21:50Z,2024-12-19T14:32:55Z,,"bug, P3"
7319,Not able to unselect some actions,open,2024-12-17T07:53:42Z,2025-01-01T05:39:05Z,,"bug, P3"
7318,Boxplot hoverinfo/hovertext fails to take,open,2024-12-17T02:52:15Z,2025-01-07T14:07:23Z,,"bug, P3"
7317,Hovertemplate should allow nil values from arrays,closed,2024-12-16T23:29:54Z,2025-02-17T21:34:36Z,,bug
7316,Shape movement does not emit plotly_relayouting event,open,2024-12-16T12:31:41Z,2024-12-16T18:52:33Z,,"bug, P3"
7310,Plotly Candlestick Flickering when moving slider,open,2024-12-13T15:23:01Z,2024-12-17T16:09:31Z,,"bug, P3"
7308,`regl-codegen` fails,open,2024-12-11T23:46:38Z,2024-12-11T23:46:38Z,,bug
7307,`npm start` Produces Error,open,2024-12-11T23:39:08Z,2024-12-11T23:39:39Z,,bug
7306,Dependency Installation Fails on Node 22,open,2024-12-11T23:09:38Z,2025-03-31T22:12:36Z,,bug
7305,Errorbars on scatter plots don't react to point selection,open,2024-12-11T15:25:12Z,2024-12-11T15:25:12Z,,bug
7300,Overlaying x axis doesn't work correctly.,open,2024-12-06T13:54:52Z,2024-12-06T19:49:21Z,,"bug, P3"
7298,Virtual WebGL Workaround Fails On 3d Plots,closed,2024-12-04T22:48:33Z,2024-12-16T17:04:06Z,archmoj,"bug, P1, cs"
7296,`anchor: 'free'` breaks fixed range with multiple axes,open,2024-12-03T09:43:28Z,2025-03-11T08:29:21Z,,"bug, P3"
7293,Single-point or empty trace is not updated with slider,open,2024-12-02T10:34:06Z,2024-12-03T14:20:24Z,,"bug, P3"
7292,Text of topmost trace in a vertically stacked bar chart is cut off if y is comparatively smaller,open,2024-12-02T04:29:46Z,2024-12-03T14:20:10Z,,"bug, P3"
7289,Default mapbox style missing,open,2024-11-26T16:16:04Z,2024-11-26T17:37:15Z,archmoj,"bug, P2"
7286,performance issue when hovering on the blank area of a scattergl trace,open,2024-11-25T11:41:31Z,2024-11-26T17:28:58Z,,"bug, P2, performance"
7285,Canvas2D willReadFrequently warning,open,2024-11-24T21:14:41Z,2024-11-26T17:29:19Z,,"bug, P3"
7277,Set key function for layout images,closed,2024-11-21T00:39:40Z,2024-11-21T20:20:19Z,archmoj,"bug, P2, performance"
7276,Node.js returns self is not defined,open,2024-11-20T23:37:12Z,2024-11-26T17:26:42Z,,"bug, P2"
7275,npm run build generates untracked files,open,2024-11-19T22:41:52Z,2024-11-26T17:20:02Z,,"bug, P2, infrastructure"
7271,selectedpoints doesn't work from Plotly.update for scattergl,open,2024-11-15T08:35:05Z,2024-11-19T09:22:15Z,,"bug, regression, P2"
7270,Plot does not appear in some cases if rangebreaks overlap,open,2024-11-14T15:40:42Z,2024-11-15T15:14:58Z,,"bug, P2"
7264,Scattergl plot rendering issues in Firefox – Missing traces on updates,open,2024-11-07T16:32:12Z,2025-01-17T16:54:25Z,,"bug, P3"
7263,Dynamic assignment of Reversed and 'Normal' autorange not working properly,open,2024-11-07T11:49:46Z,2024-11-11T15:07:17Z,,"bug, P3"
7261,Sankey links go out of boundaries with automatic layout at some window sizes,open,2024-11-04T13:37:20Z,2024-11-07T11:14:50Z,,"bug, P3"
7258,Custom bundle doesn't generate CSS file anymore.,open,2024-10-31T11:38:26Z,2024-11-07T18:02:37Z,archmoj,"bug, P2"
7242,Y-axis changes to hoverformat value when both tickformat and hoverformat are set,open,2024-10-21T07:21:38Z,2024-10-21T15:12:53Z,,"bug, P3"
7239,Concave data in contour plots causes rendering issues,open,2024-10-18T14:04:53Z,2024-10-18T20:25:56Z,,"bug, P3, cs"
7235,zorder property changes trace color,open,2024-10-17T15:39:11Z,2024-11-11T11:22:56Z,,"bug, P2, cs"
7232,"Hover labels do not match x-axis value in scattermode ""group""",open,2024-10-17T14:53:47Z,2024-10-18T14:41:12Z,,"bug, P3"
7227,Inside tick labels show under overlayed subplots with zorder ,open,2024-10-16T14:19:31Z,2024-10-17T15:41:09Z,archmoj,"bug, P2"
7225,X-axis type lost after restyle,open,2024-10-10T15:40:12Z,2024-10-10T16:29:44Z,,"bug, P3"
7222,"Broken dependency ""webpack"" for ""react-scripts"" v3.4.1",open,2024-10-08T21:53:45Z,2024-10-10T16:30:24Z,archmoj,"bug, P1"
7218,Blank spaces in between treemap - react plotly,open,2024-10-08T04:15:00Z,2024-10-09T12:38:00Z,,"bug, P3"
7199,Use URLs directly for layout images,closed,2024-10-02T20:27:08Z,2024-12-12T20:20:45Z,,"bug, performance"
7194,"Chart2Music: when no x or y axis title is present, the title of the chart becomes ""Click to enter x axis title""",open,2024-10-02T18:41:12Z,2024-10-04T20:10:37Z,marthacryan,"bug, P2"
7193,chart2music: auto-generated trace names are incorrect,open,2024-10-02T18:28:52Z,2024-10-04T20:10:16Z,,"bug, P2"
7184,x hover label hidden when using `hoversubplots='axis'` and `hovermode='x'`,open,2024-10-02T13:10:11Z,2024-10-02T16:35:28Z,emilykl,"bug, P3"
7171,Fix lower zorder traces behing some gridlines on overlayed suplots,closed,2024-09-24T18:05:15Z,2024-10-16T14:20:25Z,,"bug, P1"
7170,Global CSS cannot be imported from within node_modules.,open,2024-09-23T15:06:19Z,2024-12-09T14:41:51Z,marthacryan,"bug, P2"
7169,"Error when providing axis tickformat, but dataset is empty",open,2024-09-22T19:34:47Z,2024-09-23T14:27:16Z,,"bug, P3"
7167,Fix scatterternary with ids attribute,closed,2024-09-20T20:13:53Z,2024-09-20T21:07:02Z,,bug
7166,ids attribute breaks scatterternary,closed,2024-09-20T19:21:44Z,2024-09-20T21:32:13Z,,bug
7164,fix to allow you to add fake selections,closed,2024-09-19T17:29:29Z,2024-12-12T20:20:55Z,,bug
7161,Missing source maps for maplibre-gl,closed,2024-09-17T19:11:58Z,2024-10-04T13:09:52Z,archmoj,"bug, P2"
7159,"Box trace with `boxpoints=""all""` and `line_width=0` doesn't render marker in legend",open,2024-09-17T16:21:57Z,2024-09-23T14:23:24Z,,"bug, P3"
7152,Incorrect hover label for missing last value with hovermode `x-unified` and `tickson=boundaries`,open,2024-09-12T09:22:32Z,2024-09-12T18:10:35Z,,"bug, P3"
7144,zorder property for traces causes gridline to be drawn above traces,open,2024-09-10T09:58:45Z,2024-09-16T13:15:31Z,archmoj,"bug, P2"
7143,aspectmode=data is incorrect when cones and scatter points are both involved,open,2024-09-08T22:26:14Z,2024-09-08T22:26:15Z,,"bug, sev-2"
7139,Plotly tries to access maplibre-gl.css,closed,2024-09-03T10:25:48Z,2024-09-07T02:45:23Z,archmoj,"bug, P1"
7133,Inconsistent `gap` attributes causes misalignment,open,2024-08-27T14:43:01Z,2024-08-27T14:43:02Z,,"bug, sev-3"
7132,Distorted link loop in sankey diagram,closed,2024-08-27T12:21:01Z,2024-12-16T18:06:51Z,,"bug, P3"
7131,Fix rendering of WebGL traces on latest `Chrome-128` and `Edge-128` browsers,closed,2024-08-26T23:53:16Z,2024-08-28T20:12:34Z,archmoj,"bug, P1"
7130,"`Chrome 128` seems to have problem rendering WebGL traces including `parcoords`, `mesh3d`, `surface`",closed,2024-08-22T15:19:53Z,2024-08-30T08:20:28Z,archmoj,"bug, P2"
7123,Mismatched Tooltip Behavior in Heatmap Charts with Line Chart Overlays,open,2024-08-21T19:20:06Z,2024-08-26T15:18:32Z,,"bug, P3"
7085,no predefined stamen styles in map subplots,closed,2024-08-12T15:46:20Z,2024-08-27T19:08:32Z,,bug
7082,"mapbox attribute control toggle, wrong styling",open,2024-08-09T14:09:40Z,2024-08-27T01:03:28Z,archmoj,"bug, P3"
7079,Y axis title can be misplaced when legend is anchored to container,open,2024-08-09T08:57:43Z,2024-08-09T14:09:02Z,,"bug, P3"
7076,maplibre attributions are expanded by default,closed,2024-08-08T15:58:44Z,2024-08-27T20:05:01Z,archmoj,"bug, P1"
7075,Attributions display twice on `mapbox` ,closed,2024-08-08T15:08:06Z,2024-08-09T14:42:47Z,archmoj,"bug, P1"
7073,Plotly.js fails on yarn install,open,2024-08-08T06:45:38Z,2024-08-17T02:39:34Z,archmoj,"bug, P2"
7072,Legend cannot be scrolled to the end  if `xref`/`yref` is set to `container`,open,2024-08-06T11:45:48Z,2024-08-09T14:12:10Z,,"bug, P2"
7071,Adding layers makes tooltips disappear ,open,2024-07-30T14:02:58Z,2024-08-09T14:12:16Z,,"bug, P3"
7070,`zorder` on overlayed subplots case of multiple traces in each subplot,closed,2024-07-30T13:00:02Z,2024-09-09T18:22:55Z,archmoj,"bug, P1, cs"
7069,Nearly zero axis label - Floating point rounding error,open,2024-07-29T16:10:33Z,2024-08-09T14:12:27Z,,"bug, P2, cs"
7068,load maki icon,closed,2024-07-26T17:05:35Z,2024-07-26T19:07:01Z,,"bug, community"
7066,Scrolling on the legend will cause the parent to scroll,open,2024-07-26T00:40:38Z,2024-08-09T14:12:48Z,,"bug, sev-3, P2"
7065,Scattergl slower than scatter with many points,closed,2024-07-25T13:10:07Z,2024-12-16T17:53:30Z,,"bug, P3, performance"
7062,plotly.js via Packagist (Composer - PHP) dependencies conflict,open,2024-07-23T16:31:43Z,2024-08-09T14:14:02Z,archmoj,"bug, P2"
7059,Responsive config option does not apply on elements size changes,open,2024-07-21T10:53:42Z,2025-02-07T13:29:13Z,,"bug, P2"
7057,Fix missing cursor for ternary plot,closed,2024-07-20T16:33:29Z,2024-08-27T19:07:52Z,,"bug, community"
7052,Weird Symbols show up when using Local version compared to CDN,open,2024-07-17T15:15:08Z,2024-08-30T16:42:18Z,,"bug, P3"
7051,showframe not working for scattergeo if geo.scope is set,open,2024-07-16T20:45:59Z,2024-08-09T14:15:20Z,,"bug, P3"
7049,pointNumber passed to Plotly.Fx.Hover() is not used for box plots,open,2024-07-16T17:11:06Z,2024-08-09T14:16:14Z,,"bug, P2"
7048,"With shapes that reference categorical axis, shape is drawn when no category exists",open,2024-07-15T20:56:52Z,2024-08-09T14:16:24Z,,"bug, P3"
7045,Performance Issues with Sankey Diagram in react-plotly.js with large data,open,2024-07-14T11:56:54Z,2024-08-12T15:52:51Z,,"bug, P3, performance"
7044,Adjust failing modebar test after merging PR #5879,closed,2024-07-13T22:50:07Z,2024-07-17T16:03:30Z,,bug
7042,overlapped links become inaccessible in Sankey plot,open,2024-07-08T14:16:31Z,2024-08-09T14:17:32Z,,"bug, P3"
7041, Duplicate Keys on X-Axis with Date Format and formatTick,open,2024-07-02T15:34:00Z,2025-04-04T15:10:50Z,,"bug, P2"
7040,Remove line numbers from `lib/locales/es.js`,open,2024-06-28T19:46:31Z,2024-08-09T14:17:59Z,,"bug, P2, infrastructure"
7039,hoveron fills doesn't work on charts with rangeslider,open,2024-06-28T12:41:27Z,2024-08-09T14:18:16Z,,"bug, P3"
7038,Dynamically assigning false to the legendPosition property in Plotly.js is not working.,open,2024-06-26T13:42:59Z,2024-08-09T14:18:24Z,,"bug, P3"
7032,Handle `zorder` between overlayed cartesian subplots,closed,2024-06-19T19:36:01Z,2024-07-04T14:32:42Z,,"bug, feature"
7029,Fix Jasmine test `restyle radial axis title`,open,2024-06-18T19:18:50Z,2024-08-09T14:19:35Z,,"bug, regression, P2"
7026,Replace country-regex Part 2,open,2024-06-14T13:00:14Z,2024-12-12T14:41:59Z,archmoj,"bug, P2, infrastructure"
7024,partial autorange gets overridden on subsequent `react` calls,open,2024-06-13T22:03:40Z,2024-11-05T08:55:42Z,,"bug, P3"
7023,Multiple legends no longer work starting with v2.25.0,open,2024-06-13T07:54:12Z,2024-08-09T14:20:44Z,,"bug, regression, P2"
