Filepath,Filename,Version,Date,Average Line Length,Blank Lines,Code Lines,Comment Lines,Difficulty,Effort,Final Score,Grade,Length,Total Lines,Total Operands,Total Operators,Unique Operands,Unique Operators,Vocabulary,Volume,class,else,except,for,if,import,lambda,return,try,while,with
plotly/js/versions/2017/Q1_2017-01-02/build/plotcss.js,plotcss.js,,2017-01-02,71.78,2,60,0,21.02,177664.23,55,C,1107,62,655,452,187,12,199,8453.74,,,,1,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/build/ploticon.js,ploticon.js,,2017-01-02,71.03,1,117,0,9.41,236444.91,65,B-,2728,118,1841,887,587,6,593,25130.03,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/devtools/image_viewer/server.js,server.js,,2017-01-02,31.82,11,40,0,12.00,20741.83,55,C,275,51,132,143,66,12,78,1728.49,,,,,1,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/devtools/image_viewer/viewer.js,viewer.js,,2017-01-02,38.14,18,86,0,18.00,79207.15,55,C,636,104,327,309,109,12,121,4400.40,,1,,,1,,,3,,,
plotly/js/versions/2017/Q1_2017-01-02/devtools/test_dashboard/devtools.js,devtools.js,,2017-01-02,34.41,53,181,0,20.98,200195.65,55,C,1196,234,619,577,236,16,252,9540.83,,1,,1,8,,,5,,2,1
plotly/js/versions/2017/Q1_2017-01-02/devtools/test_dashboard/server.js,server.js,,2017-01-02,32.39,24,120,0,17.09,97868.12,55,C,786,144,376,410,143,13,156,5726.33,,4,,1,5,,,14,,1,
plotly/js/versions/2017/Q1_2017-01-02/lib/bar.js,bar.js,,2017-01-02,28.11,2,9,0,4.47,1422.30,70,B,59,11,38,21,34,8,42,318.15,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/lib/box.js,box.js,,2017-01-02,28.11,2,9,0,4.47,1422.30,70,B,59,11,38,21,34,8,42,318.15,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/lib/calendars.js,calendars.js,,2017-01-02,29.22,2,9,0,4.47,1422.30,70,B,59,11,38,21,34,8,42,318.15,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/lib/candlestick.js,candlestick.js,,2017-01-02,29.00,2,9,0,4.47,1422.30,70,B,59,11,38,21,34,8,42,318.15,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/lib/choropleth.js,choropleth.js,,2017-01-02,28.89,2,9,0,4.47,1422.30,70,B,59,11,38,21,34,8,42,318.15,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/lib/contour.js,contour.js,,2017-01-02,28.56,2,9,0,4.47,1422.30,70,B,59,11,38,21,34,8,42,318.15,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/lib/contourgl.js,contourgl.js,,2017-01-02,28.78,2,9,0,4.47,1422.30,70,B,59,11,38,21,34,8,42,318.15,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/lib/core.js,core.js,,2017-01-02,27.44,2,9,0,4.48,1369.59,70,B,57,11,37,20,33,8,41,305.38,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/lib/filter.js,filter.js,,2017-01-02,28.89,2,9,0,4.47,1422.30,70,B,59,11,38,21,34,8,42,318.15,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/lib/groupby.js,groupby.js,,2017-01-02,29.00,2,9,0,4.47,1422.30,70,B,59,11,38,21,34,8,42,318.15,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/lib/heatmap.js,heatmap.js,,2017-01-02,28.56,2,9,0,4.47,1422.30,70,B,59,11,38,21,34,8,42,318.15,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/lib/heatmapgl.js,heatmapgl.js,,2017-01-02,28.78,2,9,0,4.47,1422.30,70,B,59,11,38,21,34,8,42,318.15,,,,,,,,,,,
plotly/js/versions/2017/Q1_2017-01-02/lib/histogram.js,histogram.js,,2017-01-02,28.78,2,9,0,4.47,1422.30,70,B,59,11,38,21,34,8,42,318.15,,,,,,,,,,,
