Filename,Section,Metric,Value
index.js,LOC Metrics,Total Lines,40
index.js,LOC Metrics,Blank Lines,6
index.js,LOC Metrics,Comment Lines,0
index.js,LOC Metrics,Code Lines,34
index.js,Halstead Metrics,Unique Operators,8
index.js,Halstead Metrics,Unique Operands,70
index.js,Halstead Metrics,Total Operators,73
index.js,Halstead Metrics,Total Operands,136
index.js,Halstead Metrics,Vocabulary,78
index.js,Halstead Metrics,Length,209
index.js,Halstead Metrics,Volume,1313.65
index.js,Halstead Metrics,Difficulty,7.77
index.js,Halstead Metrics,Effort,10208.93
index.js,Keyword Frequency,None,0
index.js,General,Average Line Length,31.41
index.js,Results,Final Score,65
index.js,Results,Grade,B-

plotly.js,LOC Metrics,Total Lines,79
plotly.js,LOC Metrics,Blank Lines,11
plotly.js,LOC Metrics,Comment Lines,0
plotly.js,LOC Metrics,Code Lines,68
plotly.js,Halstead Metrics,Unique Operators,8
plotly.js,Halstead Metrics,Unique Operands,153
plotly.js,Halstead Metrics,Total Operators,304
plotly.js,Halstead Metrics,Total Operands,298
plotly.js,Halstead Metrics,Vocabulary,161
plotly.js,Halstead Metrics,Length,602
plotly.js,Halstead Metrics,Volume,4413.21
plotly.js,Halstead Metrics,Difficulty,7.79
plotly.js,Halstead Metrics,Effort,34382.67
plotly.js,Keyword Frequency,None,0
plotly.js,General,Average Line Length,39.03
plotly.js,Results,Final Score,65
plotly.js,Results,Grade,B-

geo_assets.js,LOC Metrics,Total Lines,12
geo_assets.js,LOC Metrics,Blank Lines,3
geo_assets.js,LOC Metrics,Comment Lines,0
geo_assets.js,LOC Metrics,Code Lines,9
geo_assets.js,Halstead Metrics,Unique Operators,8
geo_assets.js,Halstead Metrics,Unique Operands,32
geo_assets.js,Halstead Metrics,Total Operators,20
geo_assets.js,Halstead Metrics,Total Operands,38
geo_assets.js,Halstead Metrics,Vocabulary,40
geo_assets.js,Halstead Metrics,Length,58
geo_assets.js,Halstead Metrics,Volume,308.67
geo_assets.js,Halstead Metrics,Difficulty,4.75
geo_assets.js,Halstead Metrics,Effort,1466.19
geo_assets.js,Keyword Frequency,None,0
geo_assets.js,General,Average Line Length,30.00
geo_assets.js,Results,Final Score,70
geo_assets.js,Results,Grade,B

arrow_paths.js,LOC Metrics,Total Lines,58
arrow_paths.js,LOC Metrics,Blank Lines,2
arrow_paths.js,LOC Metrics,Comment Lines,0
arrow_paths.js,LOC Metrics,Code Lines,56
arrow_paths.js,Halstead Metrics,Unique Operators,10
arrow_paths.js,Halstead Metrics,Unique Operands,112
arrow_paths.js,Halstead Metrics,Total Operators,138
arrow_paths.js,Halstead Metrics,Total Operands,245
arrow_paths.js,Halstead Metrics,Vocabulary,122
arrow_paths.js,Halstead Metrics,Length,383
arrow_paths.js,Halstead Metrics,Volume,2654.47
arrow_paths.js,Halstead Metrics,Difficulty,10.94
arrow_paths.js,Halstead Metrics,Effort,29033.29
arrow_paths.js,Keyword Frequency,for,1
arrow_paths.js,Keyword Frequency,with,2
arrow_paths.js,General,Average Line Length,25.25
arrow_paths.js,Results,Final Score,55
arrow_paths.js,Results,Grade,C

attributes.js,LOC Metrics,Total Lines,249
attributes.js,LOC Metrics,Blank Lines,5
attributes.js,LOC Metrics,Comment Lines,0
attributes.js,LOC Metrics,Code Lines,244
attributes.js,Halstead Metrics,Unique Operators,15
attributes.js,Halstead Metrics,Unique Operands,224
attributes.js,Halstead Metrics,Total Operators,484
attributes.js,Halstead Metrics,Total Operands,868
attributes.js,Halstead Metrics,Vocabulary,239
attributes.js,Halstead Metrics,Length,1352
attributes.js,Halstead Metrics,Volume,10681.97
attributes.js,Halstead Metrics,Difficulty,29.06
attributes.js,Halstead Metrics,Effort,310444.81
attributes.js,Keyword Frequency,with,7
attributes.js,Keyword Frequency,if,3
attributes.js,Keyword Frequency,for,4
attributes.js,General,Average Line Length,33.04
attributes.js,Results,Final Score,55
attributes.js,Results,Grade,C

index.js,LOC Metrics,Total Lines,920
index.js,LOC Metrics,Blank Lines,124
index.js,LOC Metrics,Comment Lines,0
index.js,LOC Metrics,Code Lines,796
index.js,Halstead Metrics,Unique Operators,16
index.js,Halstead Metrics,Unique Operands,672
index.js,Halstead Metrics,Total Operators,3229
index.js,Halstead Metrics,Total Operands,3456
index.js,Halstead Metrics,Vocabulary,688
index.js,Halstead Metrics,Length,6685
index.js,Halstead Metrics,Volume,63014.58
index.js,Halstead Metrics,Difficulty,41.14
index.js,Halstead Metrics,Effort,2592599.86
index.js,Keyword Frequency,for,20
index.js,Keyword Frequency,return,23
index.js,Keyword Frequency,if,102
index.js,Keyword Frequency,else,23
index.js,Keyword Frequency,except,1
index.js,Keyword Frequency,with,2
index.js,Keyword Frequency,class,3
index.js,General,Average Line Length,43.66
index.js,Results,Final Score,55
index.js,Results,Grade,C

attributes.js,LOC Metrics,Total Lines,28
attributes.js,LOC Metrics,Blank Lines,5
attributes.js,LOC Metrics,Comment Lines,0
attributes.js,LOC Metrics,Code Lines,23
attributes.js,Halstead Metrics,Unique Operators,8
attributes.js,Halstead Metrics,Unique Operands,72
attributes.js,Halstead Metrics,Total Operators,57
attributes.js,Halstead Metrics,Total Operands,83
attributes.js,Halstead Metrics,Vocabulary,80
attributes.js,Halstead Metrics,Length,140
attributes.js,Halstead Metrics,Volume,885.07
attributes.js,Halstead Metrics,Difficulty,4.61
attributes.js,Halstead Metrics,Effort,4081.16
attributes.js,Keyword Frequency,for,1
attributes.js,General,Average Line Length,30.74
attributes.js,Results,Final Score,65
attributes.js,Results,Grade,B-

index.js,LOC Metrics,Total Lines,142
index.js,LOC Metrics,Blank Lines,25
index.js,LOC Metrics,Comment Lines,0
index.js,LOC Metrics,Code Lines,117
index.js,Halstead Metrics,Unique Operators,16
index.js,Halstead Metrics,Unique Operands,161
index.js,Halstead Metrics,Total Operators,633
index.js,Halstead Metrics,Total Operands,604
index.js,Halstead Metrics,Vocabulary,177
index.js,Halstead Metrics,Length,1237
index.js,Halstead Metrics,Volume,9237.43
index.js,Halstead Metrics,Difficulty,30.01
index.js,Halstead Metrics,Effort,277237.59
index.js,Keyword Frequency,return,16
index.js,Keyword Frequency,if,20
index.js,Keyword Frequency,for,6
index.js,Keyword Frequency,with,1
index.js,Keyword Frequency,else,5
index.js,General,Average Line Length,38.17
index.js,Results,Final Score,55
index.js,Results,Grade,C

attributes.js,LOC Metrics,Total Lines,191
attributes.js,LOC Metrics,Blank Lines,3
attributes.js,LOC Metrics,Comment Lines,0
attributes.js,LOC Metrics,Code Lines,188
attributes.js,Halstead Metrics,Unique Operators,12
attributes.js,Halstead Metrics,Unique Operands,188
attributes.js,Halstead Metrics,Total Operators,349
attributes.js,Halstead Metrics,Total Operands,609
attributes.js,Halstead Metrics,Vocabulary,200
attributes.js,Halstead Metrics,Length,958
attributes.js,Halstead Metrics,Volume,7322.81
attributes.js,Halstead Metrics,Difficulty,19.44
attributes.js,Halstead Metrics,Effort,142327.46
attributes.js,Keyword Frequency,with,1
attributes.js,General,Average Line Length,31.52
attributes.js,Results,Final Score,55
attributes.js,Results,Grade,C

index.js,LOC Metrics,Total Lines,603
index.js,LOC Metrics,Blank Lines,69
index.js,LOC Metrics,Comment Lines,0
index.js,LOC Metrics,Code Lines,534
index.js,Halstead Metrics,Unique Operators,16
index.js,Halstead Metrics,Unique Operands,575
index.js,Halstead Metrics,Total Operators,1953
index.js,Halstead Metrics,Total Operands,2347
index.js,Halstead Metrics,Vocabulary,591
index.js,Halstead Metrics,Length,4300
index.js,Halstead Metrics,Volume,39590.16
index.js,Halstead Metrics,Difficulty,32.65
index.js,Halstead Metrics,Effort,1292773.69
index.js,Keyword Frequency,for,15
index.js,Keyword Frequency,if,35
index.js,Keyword Frequency,return,16
index.js,Keyword Frequency,else,5
index.js,Keyword Frequency,with,3
index.js,Keyword Frequency,except,1
index.js,General,Average Line Length,44.99
index.js,Results,Final Score,55
index.js,Results,Grade,C

attributes.js,LOC Metrics,Total Lines,73
attributes.js,LOC Metrics,Blank Lines,3
attributes.js,LOC Metrics,Comment Lines,0
attributes.js,LOC Metrics,Code Lines,70
attributes.js,Halstead Metrics,Unique Operators,12
attributes.js,Halstead Metrics,Unique Operands,84
attributes.js,Halstead Metrics,Total Operators,85
attributes.js,Halstead Metrics,Total Operands,179
