Issue Number,Title,State,Created At,Updated At,Assignee,Labels
5129,incorrect bar chart label shown in documentation,open,2025-04-05T10:51:56Z,2025-04-08T13:06:28Z,LiamConnors,"bug, P1, documentation"
5124,plotly.io.to_json method does not convert large numbers correctly,open,2025-04-03T14:22:24Z,2025-04-08T13:04:53Z,marthacryan,"bug, P1, regression"
5120,`vline` and `hline` visibility not updated by custom buttons,open,2025-03-30T23:13:57Z,2025-03-31T14:57:36Z,LiamConnors,"bug, P2, documentation"
5119,Unable to access customdata using clickData [plotly>=6.0.0],open,2025-03-30T20:00:37Z,2025-03-31T14:56:05Z,,"bug, P1, regression"
5118,Plotly FigureWidget Display Problem in Sphinx,open,2025-03-28T11:59:39Z,2025-03-31T14:55:29Z,marthacryan,"bug, P3"
5116,API reference docs for `layout.Legend` out of sync with `layout` docs,closed,2025-03-27T21:01:50Z,2025-04-07T21:34:26Z,LiamConnors,"bug, P1, documentation"
5115,Legend group title are shifted to the right when written in LaTeX,open,2025-03-27T17:06:59Z,2025-03-31T14:53:27Z,,"bug, P3"
5113,plotly/package_data/widgetbundle.js has not been included in the release,open,2025-03-26T09:58:26Z,2025-04-01T13:12:50Z,emilykl,"bug, P1, infrastructure, regression"
5107,View jumps when zooming line graph,open,2025-03-22T10:44:49Z,2025-03-24T18:46:35Z,,"bug, P2"
5106,"When calling update_layout() on a figure, xaxis_range does not update correctly when margin_b is specified",open,2025-03-21T20:59:38Z,2025-03-24T15:02:38Z,,"bug, P1, regression"
5105,Incorrect fill in graph objects when connectgaps is set to false,open,2025-03-21T12:30:47Z,2025-03-31T13:29:07Z,,"bug, P2"
5101,Plotly Express not displaying datetime,open,2025-03-19T22:49:42Z,2025-04-04T09:40:42Z,,"bug, P1, regression"
5100,Grouped Stacked Bar Chart - offsetgroup not being respected,open,2025-03-19T02:03:10Z,2025-03-19T18:55:33Z,,"bug, P2"
5099,"y-axis values are displayed in ascending order in scatter plots, version 6.0.1",open,2025-03-18T14:48:25Z,2025-03-18T18:04:03Z,,"bug, P1, cs"
5097,Plotly 6.0.1 not showing the first plot in vscode,open,2025-03-18T04:02:18Z,2025-03-24T15:06:52Z,marthacryan,"bug, P1"
