Filename,Section,Metric,Value
setup.py,LOC Metrics,Total Lines,49
setup.py,LOC Metrics,Blank Lines,5
setup.py,LOC Metrics,Comment Lines,0
setup.py,LOC Metrics,Code Lines,44
setup.py,Halstead Metrics,Unique Operators,11
setup.py,Halstead Metrics,Unique Operands,81
setup.py,Halstead Metrics,Total Operators,111
setup.py,Halstead Metrics,Total Operands,141
setup.py,Halstead Metrics,Vocabulary,92
setup.py,Halstead Metrics,Length,252
setup.py,Halstead Metrics,Volume,1643.94
setup.py,Halstead Metrics,Difficulty,9.57
setup.py,Halstead Metrics,Effort,15739.18
setup.py,Keyword Frequency,import,1
setup.py,Keyword Frequency,def,1
setup.py,Keyword Frequency,with,1
setup.py,Keyword Frequency,return,1
setup.py,Keyword Frequency,for,1
setup.py,General,Average Line Length,37.66
setup.py,Results,Final Score,65
setup.py,Results,Grade,B-

update_graph_objs.py,LOC Metrics,Total Lines,298
update_graph_objs.py,LOC Metrics,Blank Lines,47
update_graph_objs.py,LOC Metrics,Comment Lines,8
update_graph_objs.py,LOC Metrics,Code Lines,243
update_graph_objs.py,Halstead Metrics,Unique Operators,15
update_graph_objs.py,Halstead Metrics,Unique Operands,332
update_graph_objs.py,Halstead Metrics,Total Operators,712
update_graph_objs.py,Halstead Metrics,Total Operands,1124
update_graph_objs.py,Halstead Metrics,Vocabulary,347
update_graph_objs.py,Halstead Metrics,Length,1836
update_graph_objs.py,Halstead Metrics,Volume,15493.62
update_graph_objs.py,Halstead Metrics,Difficulty,25.39
update_graph_objs.py,Halstead Metrics,Effort,393407.33
update_graph_objs.py,Keyword Frequency,import,4
update_graph_objs.py,Keyword Frequency,def,14
update_graph_objs.py,Keyword Frequency,return,15
update_graph_objs.py,Keyword Frequency,with,8
update_graph_objs.py,Keyword Frequency,for,16
update_graph_objs.py,Keyword Frequency,if,22
update_graph_objs.py,Keyword Frequency,try,3
update_graph_objs.py,Keyword Frequency,except,3
update_graph_objs.py,Keyword Frequency,else,5
update_graph_objs.py,Keyword Frequency,while,1
update_graph_objs.py,Keyword Frequency,class,3
update_graph_objs.py,General,Average Line Length,42.12
update_graph_objs.py,Results,Final Score,65
update_graph_objs.py,Results,Grade,B-

colors.py,LOC Metrics,Total Lines,596
colors.py,LOC Metrics,Blank Lines,110
colors.py,LOC Metrics,Comment Lines,11
colors.py,LOC Metrics,Code Lines,475
colors.py,Halstead Metrics,Unique Operators,15
colors.py,Halstead Metrics,Unique Operands,534
colors.py,Halstead Metrics,Total Operators,1776
colors.py,Halstead Metrics,Total Operands,2607
colors.py,Halstead Metrics,Vocabulary,549
colors.py,Halstead Metrics,Length,4383
colors.py,Halstead Metrics,Volume,39888.20
colors.py,Halstead Metrics,Difficulty,36.62
colors.py,Halstead Metrics,Effort,1460513.28
colors.py,Keyword Frequency,import,4
colors.py,Keyword Frequency,for,27
colors.py,Keyword Frequency,def,16
colors.py,Keyword Frequency,with,8
colors.py,Keyword Frequency,if,35
colors.py,Keyword Frequency,return,22
colors.py,Keyword Frequency,else,8
colors.py,Keyword Frequency,try,1
colors.py,Keyword Frequency,except,1
colors.py,General,Average Line Length,41.60
colors.py,Results,Final Score,65
colors.py,Results,Grade,B-

config.py,LOC Metrics,Total Lines,35
config.py,LOC Metrics,Blank Lines,9
config.py,LOC Metrics,Comment Lines,2
config.py,LOC Metrics,Code Lines,24
config.py,Halstead Metrics,Unique Operators,7
config.py,Halstead Metrics,Unique Operands,57
config.py,Halstead Metrics,Total Operators,32
config.py,Halstead Metrics,Total Operands,121
config.py,Halstead Metrics,Vocabulary,64
config.py,Halstead Metrics,Length,153
config.py,Halstead Metrics,Volume,918.00
config.py,Halstead Metrics,Difficulty,7.43
config.py,Halstead Metrics,Effort,6820.58
config.py,Keyword Frequency,import,2
config.py,Keyword Frequency,def,2
config.py,Keyword Frequency,for,4
config.py,Keyword Frequency,if,2
config.py,Keyword Frequency,return,2
config.py,General,Average Line Length,44.19
config.py,Results,Final Score,75
config.py,Results,Grade,B+

exceptions.py,LOC Metrics,Total Lines,174
exceptions.py,LOC Metrics,Blank Lines,43
