,Total Days,Total Stars,Total Volume,Total Effort,Total Difficulty,Total Delivered Bugs,Total Reported Bugs,Total LOC,Total Files,Total __init__ Files,Total Changes,Avg Volume,Avg Effort,Avg Difficulty,Avg Delivered Bugs,Avg LOC,Avg Changes
Total Days,1.0,0.4,-0.1,0.1,-0.3,-0.1,0.7,-0.1,-0.3,-0.1,0.7,0.1,0.1,0.1,-0.05,0.1,-0.6
Total Stars,0.4,1.0,0.8,0.5,0.6,0.8,0.5,0.8,0.6,0.8,0.5,0.5,0.5,0.5,0.31,0.5,-0.3
Total Volume,-0.1,0.8,1.0,0.7,0.9,1.0,0.4,1.0,0.9,1.0,0.4,0.7,0.7,0.7,0.62,0.7,0.3
Total Effort,0.1,0.5,0.7,1.0,0.4,0.7,0.5,0.7,0.4,0.7,0.5,1.0,1.0,1.0,0.97,1.0,0.3
Total Difficulty,-0.3,0.6,0.9,0.4,1.0,0.9,0.3,0.9,1.0,0.9,0.3,0.4,0.4,0.4,0.36,0.4,0.5
Total Delivered Bugs,-0.1,0.8,1.0,0.7,0.9,1.0,0.4,1.0,0.9,1.0,0.4,0.7,0.7,0.7,0.62,0.7,0.3
Total Reported Bugs,0.7,0.5,0.4,0.5,0.3,0.4,1.0,0.4,0.3,0.4,1.0,0.5,0.5,0.5,0.41,0.5,0.1
Total LOC,-0.1,0.8,1.0,0.7,0.9,1.0,0.4,1.0,0.9,1.0,0.4,0.7,0.7,0.7,0.62,0.7,0.3
Total Files,-0.3,0.6,0.9,0.4,1.0,0.9,0.3,0.9,1.0,0.9,0.3,0.4,0.4,0.4,0.36,0.4,0.5
Total __init__ Files,-0.1,0.8,1.0,0.7,0.9,1.0,0.4,1.0,0.9,1.0,0.4,0.7,0.7,0.7,0.62,0.7,0.3
Total Changes,0.7,0.5,0.4,0.5,0.3,0.4,1.0,0.4,0.3,0.4,1.0,0.5,0.5,0.5,0.41,0.5,0.1
Avg Volume,0.1,0.5,0.7,1.0,0.4,0.7,0.5,0.7,0.4,0.7,0.5,1.0,1.0,1.0,0.97,1.0,0.3
Avg Effort,0.1,0.5,0.7,1.0,0.4,0.7,0.5,0.7,0.4,0.7,0.5,1.0,1.0,1.0,0.97,1.0,0.3
Avg Difficulty,0.1,0.5,0.7,1.0,0.4,0.7,0.5,0.7,0.4,0.7,0.5,1.0,1.0,1.0,0.97,1.0,0.3
Avg Delivered Bugs,-0.05,0.31,0.62,0.97,0.36,0.62,0.41,0.62,0.36,0.62,0.41,0.97,0.97,0.97,1.0,0.97,0.46
Avg LOC,0.1,0.5,0.7,1.0,0.4,0.7,0.5,0.7,0.4,0.7,0.5,1.0,1.0,1.0,0.97,1.0,0.3
Avg Changes,-0.6,-0.3,0.3,0.3,0.5,0.3,0.1,0.3,0.5,0.3,0.1,0.3,0.3,0.3,0.46,0.3,1.0
